id,grau,tempo_execucao
multp_10000_01.dat,10000,62.19949
multp_1000_01.dat,1000,1.2214292
multp_101_02.dat,101,0.055444692307692334
multp_11_03.dat,11,0.001985608177848339
multp_1600_01.dat,1600,3.0208273333333295
multp_200_01.dat,200,0.16400503225806476
multp_23_01.dat,23,0.0060890523114355225
multp_2_01.dat,2,0.00020760961634279994
multp_3200_01.dat,3200,6.901710499999979
multp_37_01.dat,37,0.018155847826086917
multp_400_01.dat,400,0.465148363636362
multp_53_01.dat,53,0.01866071641791032
multp_5_02.dat,5,0.0006671085912486607
multp_6400_01.dat,6400,20.468006000000003
multp_800_01.dat,800,1.2114827999999989
multp_83_01.dat,83,0.05485716304347808
