id,grau,tempo_execucao
multp_10000_01.dat,10000,16.8538005
multp_1000_01.dat,1000,0.3087750000000001
multp_101_02.dat,101,0.0030038636636636673
multp_11_03.dat,11,4.790214600498178e-05
multp_1600_01.dat,1600,0.7222259999999991
multp_200_01.dat,200,0.011862002369668239
multp_23_01.dat,23,0.00017530495757660776
multp_2_01.dat,2,7.5590703552914246e-06
multp_3200_01.dat,3200,2.2694253333333356
multp_37_01.dat,37,0.0004312143842704377
multp_400_01.dat,400,0.050049539999999976
multp_53_01.dat,53,0.0008462059570147232
multp_5_02.dat,5,1.6585454605765082e-05
multp_6400_01.dat,6400,6.826680500000002
multp_800_01.dat,800,0.1995299999999996
multp_83_01.dat,83,0.0020276419302514173
