id,grau,tempo_execucao
multp_10000_01.dat,10000,0.1959541153846154
multp_1000_01.dat,1000,0.01646328947368421
multp_101_02.dat,101,0.0011478638659320477
multp_11_03.dat,11,8.7220297591013e-05
multp_1600_01.dat,1600,0.02696092473118279
multp_200_01.dat,200,0.0025278296258847313
multp_23_01.dat,23,0.00020425404411764724
multp_2_01.dat,2,1.2977924572377817e-05
multp_3200_01.dat,3200,0.05687988636363633
multp_37_01.dat,37,0.0003523581847649919
multp_400_01.dat,400,0.005509671806167397
multp_53_01.dat,53,0.0005467034769298052
multp_5_02.dat,5,3.4790602364368845e-05
multp_6400_01.dat,6400,0.1202087142857143
multp_800_01.dat,800,0.013125863517060386
multp_83_01.dat,83,0.0009862303747534534
