instancia,nodes,edges,tempo_execucao
alut0787.stp,1160,2089,19.108718872070312
alut0805.stp,966,1666,12.527079105377197
alut1181.stp,3041,5693,201.25235986709595
alut2010.stp,6104,11011,855.9051270484924
